x0,level
148037.00,315.60
148038.00,315.60
148039.00,315.61
148040.00,315.61
148041.00,315.61
148042.00,315.61
148043.00,315.61
148044.00,315.62
148045.00,315.62
148046.00,315.62
148047.00,315.62
148048.00,315.62
148049.00,315.62
148050.00,315.62
148051.00,315.63
148052.00,315.63
148053.00,315.63
148054.00,315.63
148055.00,315.63
148056.00,315.63
148057.00,315.64
148058.00,315.64
148059.00,315.64
148060.00,315.64
148061.00,315.64
148062.00,315.64
148063.00,315.64
148064.00,315.64
148065.00,315.64
148066.00,315.65
148067.00,315.65
148068.00,315.65
148069.00,315.65
148070.00,315.65
148071.00,315.65
148072.00,315.65
148073.00,315.65
148074.00,315.65
148075.00,315.65
148076.00,315.66
148077.00,315.66
148078.00,315.66
148079.00,315.66
148080.00,315.66
148081.00,315.66
148082.00,315.66
148083.00,315.66
148084.00,315.66
148085.00,315.66
148086.00,315.66
148087.00,315.66
148088.00,315.66
148089.00,315.66
148090.00,315.66
148091.00,315.66
148092.00,315.66
148093.00,315.66
148094.00,315.66
148095.00,315.66
148096.00,315.66
148097.00,315.66
148098.00,315.66
148099.00,315.66
148100.00,315.66
148101.00,315.66
148102.00,315.66
148103.00,315.66
148104.00,315.66
148105.00,315.66
148106.00,315.66
148107.00,315.66
148108.00,315.66
148109.00,315.66
148110.00,315.66
148111.00,315.66
148112.00,315.66
148113.00,315.66
148114.00,315.66
148115.00,315.66
148116.00,315.66
148117.00,315.66
148118.00,315.66
148119.00,315.66
148120.00,315.66
148121.00,315.66
148122.00,315.66
148123.00,315.66
148124.00,315.66
148125.00,315.65
148126.00,315.65
148127.00,315.65
148128.00,315.65
148129.00,315.65
148130.00,315.65
148131.00,315.65
148132.00,315.65
148133.00,315.65
148134.00,315.65
148135.00,315.64
148136.00,315.64
148137.00,315.64
148138.00,315.64
148139.00,315.64
148140.00,315.64
148141.00,315.64
148142.00,315.64
148143.00,315.64
148144.00,315.63
148145.00,315.63
148146.00,315.63
148147.00,315.63
148148.00,315.63
148149.00,315.63
148150.00,315.62
148151.00,315.62
148152.00,315.62
148153.00,315.62
148154.00,315.62
148155.00,315.62
148156.00,315.62
148157.00,315.61
148158.00,315.61
148159.00,315.61
148160.00,315.61
148161.00,315.61
148162.00,315.60
148163.00,315.60
148164.00,315.60
148165.00,315.60
148166.00,315.60
148167.00,315.59
148168.00,315.59
148169.00,315.59
148170.00,315.59
148171.00,315.59
148172.00,315.58
148173.00,315.58
148174.00,315.58
148175.00,315.58
148176.00,315.57
148177.00,315.57
148178.00,315.57
148179.00,315.57
148180.00,315.56
148181.00,315.56
148182.00,315.56
148183.00,315.56
148184.00,315.55
148185.00,315.55
148186.00,315.55
148187.00,315.55
148188.00,315.54
148189.00,315.54
148190.00,315.54
148191.00,315.53
148192.00,315.53
148193.00,315.53
148194.00,315.53
148195.00,315.52
148196.00,315.52
148197.00,315.52
148198.00,315.51
148199.00,315.51
148200.00,315.51
148201.00,315.50
148202.00,315.50
148203.00,315.50
148204.00,315.50
148205.00,315.49
148206.00,315.49
148207.00,315.49
148208.00,315.48
148209.00,315.48
148210.00,315.47
148211.00,315.47
148212.00,315.47
148213.00,315.46
148214.00,315.46
148215.00,315.46
148216.00,315.45
148217.00,315.45
148218.00,315.45
148219.00,315.44
148220.00,315.44
148221.00,315.44
148222.00,315.43
148223.00,315.43
148224.00,315.42
148225.00,315.42
148226.00,315.42
148227.00,315.41
148228.00,315.41
148292.00,315.15
148293.00,315.15
148294.00,315.14
148295.00,315.14
148296.00,315.14
148297.00,315.13
148298.00,315.13
148299.00,315.13
148300.00,315.12
148301.00,315.12
148302.00,315.11
148303.00,315.11
148304.00,315.11
148305.00,315.10
148306.00,315.10
148307.00,315.10
148308.00,315.09
148309.00,315.09
148310.00,315.09
148311.00,315.08
148312.00,315.08
148313.00,315.08
148314.00,315.07
148315.00,315.07
148316.00,315.07
148317.00,315.07
148318.00,315.06
148319.00,315.06
148320.00,315.06
148321.00,315.05
148322.00,315.05
148323.00,315.05
148324.00,315.05
148325.00,315.04
148326.00,315.04
148327.00,315.04
148328.00,315.04
148329.00,315.03
148330.00,315.03
148331.00,315.03
148332.00,315.03
148333.00,315.02
148334.00,315.02
148335.00,315.02
148336.00,315.02
148337.00,315.01
148338.00,315.01
148339.00,315.01
148340.00,315.01
148341.00,315.01
148342.00,315.00
148343.00,315.00
148344.00,315.00
148345.00,315.00
148346.00,315.00
148347.00,315.00
148348.00,314.99
148349.00,314.99
148350.00,314.99
148351.00,314.99
148352.00,314.99
148353.00,314.99
148354.00,314.98
148355.00,314.98
148356.00,314.98
148357.00,314.98
148358.00,314.98
148359.00,314.98
148360.00,314.98
148361.00,314.98
148362.00,314.97
148363.00,314.97
148364.00,314.97
148365.00,314.97
148366.00,314.97
148367.00,314.97
148368.00,314.97
148369.00,314.97
148370.00,314.97
148371.00,314.97
148372.00,314.97
148373.00,314.96
148374.00,314.96
148375.00,314.96
148376.00,314.96
148377.00,314.96
148378.00,314.96
148379.00,314.96
148380.00,314.96
148381.00,314.96
148382.00,314.96
148383.00,314.96
148384.00,314.96
148385.00,314.96
148386.00,314.96
148387.00,314.96
148388.00,314.96
148389.00,314.96
148390.00,314.96
148391.00,314.96
148392.00,314.96
148393.00,314.96
148394.00,314.96
148395.00,314.96
148396.00,314.96
148397.00,314.96
148398.00,314.96
148399.00,314.96
148400.00,314.96
148401.00,314.96
148402.00,314.96
148403.00,314.96
148404.00,314.97
148405.00,314.97
148406.00,314.97
148407.00,314.97
148408.00,314.97
