x0,level
198332.277,694.438
198340,693.933
198360,693.127
198380,692.416
198400,691.6
198420,690.483
198440,687.838
198460,685.964
198480,684.524
198500,682.905
198520,680.306
198540,677.404
198560,674.82
198580,673.035
198600,671.699
198620,670.55
198640,669.201
198660,667.8
198680,666.034
198700,664.637
198720,664.196
198740,664.736
198760,666.025
198780,667.682
198800,668.973
198820,669.737
198840,670.919
198860,672.103
198880,673.008
198900,673.863
198920,674.616
198940,673.183
198960,672.585
198980,671.908
199000,671.8
199020,672.245
199040,672.5
199060,675.171
199080,677.005
199100,680.388
199120,683.246
199140,687.156
199160,691.013
199180,694.518
199200,698.775
199220,703.239
199240,707.978
199260,713.713
199280,718.867
199300,724.358
199320,728.827
199340,733.709
199360,738.684
199380,743.3
199400,746.821
199420,749.286
199440,750.448
199460,750.373
199480,750.3
199500,749.377
199520,747.899
199540,746.359
199560,742.904
199580,739.976
199600,737.371
199620,734.19
199640,731.38
199660,728.112
199680,724.82
199700,721.698
199720,717.2
199740,713.699
199760,709.286
199780,704.592
199800,701.191
199820,698.134
199840,695.692
199860,693.839
199880,692.326
199900,692.763
199920,693.831
199940,695.498
199960,697.684
199980,699.237
200000,700.866
200020,702.342
200040,703.873
200060,704.549
200080,705.226
200100,706.062
200120,706.596
200140,706.982
200160,707.218
200180,707.307
200200,706.675
200220,705.108
200240,703.692
200260,702.368
200280,701.684
200300,700.683
200320,698.888
200340,697.298
200360,696.29
200380,695.264
200400,694.909
200420,694.966
200440,695.677
200460,696.3
200480,696.604
200500,696.739
200520,696.813
200540,696.832
200560,697.888
200580,699.678
200600,701.829
200620,704.255
200640,707.323
200660,710.267
200680,712.88
200700,715.097
200708.556,715.646
