x0,level
202767.352,776.091
202780,776.078
202800,776.057
202820,776.034
202840,775.997
202860,775.927
202880,775.807
202900,775.619
202920,775.345
202940,774.951
202960,774.211
202980,773.266
203000,772.255
203020,771.672
203040,770.98
203060,770.178
203080,769.157
203100,767.983
203120,766.685
203140,765.262
203160,763.918
203180,762.998
203200,761.964
203220,760.816
203240,759.601
203260,758.373
203280,757.044
203300,755.614
203320,755
203340,755.053
203360,755.098
203380,755.96
203400,757.472
203420,759.001
203440,760.845
203460,763.258
203480,765.035
203500,766.726
203520,767.731
203540,768.252
203560,769.025
203580,768.904
203600,767.689
203620,766.518
203640,765.361
203660,765
203680,765
203700,765
203720,765
203740,765.219
203760,766.022
203780,767.122
203800,768.718
203820,770.895
203840,772.873
203860,774.711
203880,775.677
203900,776.463
203920,777.36
203940,778.621
203960,779.869
203980,780.663
204100,780.294
204120,784.129
204140,793.165
204160,805.564
204180,812.991
204200,816.832
204220,818.02
204240,816.514
204260,811.082
204280,810.427
204300,809.757
204320,808.858
204340,808.36
204360,804.433
204380,802.576
204400,804.294
204420,804.076
204440,799.216
204460,792.598
204480,783.125
204500,773.454
204520,772.372
204540,784.288
204560,795.967
204580,805.626
204600,808.705
204620,808.406
204640,810.774
204660,809.368
204680,805.534
204700,808.021
204720,809.221
204740,810.97
204760,810.338
204780,808.572
204800,805.015
204820,810.261
204840,816.439
204860,820.374
204880,821.413
204900,825.726
204920,827.322
204940,829.978
204960,835.129
204980,838.706
205000,840.696
205020,843.584
205040,849.547
205060,849.602
205080,844.979
205100,838.373
205120,831.572
205140,825.126
205160,817.858
205180,808.149
205200,801.635
205220,806.167
205240,815.283
205260,824.079
205280,831.591
205300,840.337
205320,851.654
205340,870.447
205360,880.845
205380,891.951
205400,888.305
205420,869.862
205440,854.482
205460,843.847
205480,832.563
205500,824.121
205520,816.785
205540,808.128
205560,798.817
205580,789.583
205600,786.559
205620,782.411
205640,770.861
205660,761.805
205680,762.228
205700,760
205720,762.919
205740,767.74
205760,772.304
205780,775.508
205800,787.108
205820,797.719
205840,807.894
205860,816.266
205880,821.66
205900,824.092
205920,828.616
205940,833.991
205960,837.797
205980,836.416
206000,832.187
206020,824.683
206040,816.726
206060,809.178
206080,796.748
206100,789.752
206120,799.349
206140,802.545
206160,800.6
206180,796.341
206200,797.5
206220,792.262
206240,790.252
206260,786.028
206280,784.304
206300,786.402
206320,789.555
206340,790.415
206360,790.923
206380,788.889
206400,784.376
206420,785.661
206440,785.198
206460,784.498
206480,785.223
206500,783.185
206520,785.864
206540,790.284
206560,791.364
206580,790.984
206600,788.873
206620,794.714
206640,795.501
206660,795.885
206680,795.91
206700,795.334
206720,795.092
206740,795.075
206760,791.327
206780,795.671
206800,798.29
206820,799.128
206840,797.992
206860,797.869
206880,799.129
206900,796.654
206920,793.009
206940,789.592
206960,789.117
206980,787.992
207000,787.359
207020,786.917
207040,786.328
207060,785
207080,784.69
207100,787.599
207120,790.112
207140,791.78
207160,785.187
207180,784.048
207200,784.16
207220,785
207240,785
207260,785
207280,785
207300,785
207320,785
207340,785.738
207360,786.19
207380,787.486
207400,787.5
207420,787.5
207440,787.5
207460,789.683
207480,790.866
207500,791.671
207520,792.33
207540,793.07
207560,794.754
207580,800
207600,802.844
207620,805.289
207640,806.05
207660,807.711
207680,807.033
207700,804.854
207720,800.239
207740,807.189
207760,806.872
207780,803.764
207800,801.942
207820,802.105
207840,801.833
207860,802.351
207880,805.327
207900,806.038
207920,805.441
207940,805
207960,807.748
207980,807.331
208000,805.499
208020,803.982
208040,802.5
208060,802.214
208080,802.506
208100,805.689
208120,809.991
208140,812.359
208160,816.517
208180,818.168
208200,822.98
208220,822.805
208240,821.12
208260,822.833
208280,828.487
208300,830.375
208320,832.442
208340,833.633
208360,832.988
208380,831.479
208400,829.473
208420,826.423
208440,822.045
208460,819.452
208480,815.99
208500,807.5
208520,807.5
208540,807.5
208560,807.5
208580,807.534
208600,808.556
208620,809.808
208640,810
208660,810
208680,811.022
208700,811.93
208720,819.48
208740,831.337
208760,842.632
208780,855.558
208800,870.166
208820,883.285
208840,887.045
208860,889.674
208880,893.376
208900,897.36
208920,897.794
208940,898.926
208960,896.156
208980,891.132
209000,884.676
209020,878.874
209040,869.951
209060,862.505
209080,853.197
209100,845.269
209120,835.134
209140,825.323
209160,820
209180,820
209200,820
209220,820
209240,821.346
209260,822.08
209280,822.5
209300,822.5
209320,822.5
209340,822.5
209360,822.772
209380,822.5
209400,823.494
209420,824.142
209440,824.71
209460,825
209480,825
209500,825
209520,825
209540,825.15
209560,828.229
209580,830.699
209600,831.941
209620,832.397
209640,840.797
209660,847.026
209680,847.368
209700,842.319
209720,836.929
209740,834.159
209760,834.76
209780,835.74
209800,833.855
209820,832.163
209840,830.843
209860,832.865
209880,841.694
209900,847.167
209920,848.821
209940,855.081
209960,857.042
209980,853.111
210000,845.668
210020,841.354
210040,840.694
210060,837.471
210080,835
210100,837.5
210120,837.5
210140,837.5
210160,845.459
210180,852.53
210200,858.416
210220,866.987
210237.065,871.277
