x0,level
176538.328,491.854
176540,491.975
176560,489.573
176580,487.083
176600,487.326
176620,489.364
176640,489.999
176660,492.223
176680,496.598
176700,492.374
176720,492.494
176740,491.199
176760,485.102
176780,481.269
176800,473.471
176820,465.483
176840,461.667
176860,459.938
176880,458.086
176900,456.928
176920,456.688
176940,458.212
176960,459.912
176980,460.048
177000,458.846
177020,458.295
177040,459.769
177060,468.54
177080,473.598
177100,475.174
177120,475.369
177140,476.869
177160,478.37
177180,480.036
177200,481.083
177220,482.478
177240,485.855
177260,489.5
177280,495.432
177300,500.865
177320,505.905
177340,511.94
177360,515.24
177380,517.966
177400,520.701
177420,523.041
177440,524.854
177460,526.341
177480,529.311
177500,534.971
177520,535.392
177540,532.564
177560,528.981
177580,519.763
177600,508.694
177620,499.627
177640,492.257
177660,488.638
177680,489.324
177700,488.581
177720,486.646
177740,485.016
177760,483.669
177780,481.419
177800,474.453
177820,476.061
177840,482.186
177860,486.304
177880,494.684
177900,499.555
177920,505.94
177940,512.506
177960,518.844
177980,524.828
178000,530.084
178020,533.226
178040,536.026
178060,539.228
178080,544.709
178100,550.517
178120,555.775
178140,561.059
178160,567.868
178180,573.548
178200,577.572
178220,580.751
178240,586.026
178260,592.617
178280,598.605
178300,604.218
178320,608.889
178340,611.263
178360,619.106
178380,628.518
178400,640.718
178420,644.781
178440,640.777
178460,636.631
178480,633.117
178500,631.278
178520,627.968
178540,619.837
178560,613.23
178580,607.595
178600,602.778
178620,594.966
178640,593.041
178660,591.565
178680,590.375
178700,589.766
178720,587.218
178740,580.629
178760,574.481
178780,570.119
178800,564.885
178820,561.398
178840,555.533
178860,558.689
178880,562.831
178900,568.283
178920,572.917
178940,571.434
178960,568.286
178980,561.836
179000,559.956
179020,558.424
179040,556.852
179060,558.231
179080,558.587
179100,566.504
179120,569.905
179140,570.399
179160,574.016
179180,578.153
179200,581.204
179220,582.985
179240,582.088
179260,581.318
179280,581.551
179300,578.624
179320,574.675
179340,571.002
179360,569.662
179380,568.22
179400,565.898
179420,563.286
179440,560.451
179460,552.803
179480,553.251
179500,551.785
179520,554.232
179540,563.949
179560,573.34
179580,573.139
179600,569.1
179620,562.293
179640,552.26
179660,557.266
179680,568.395
179700,579.921
179720,582.093
179740,575.384
179760,567.983
179780,580.143
179800,586.181
179820,588.189
179840,590.133
179860,590.468
179880,588.646
179900,591.382
179920,594.188
179940,595.242
179960,592.769
179980,594.734
180000,598.864
180020,604.883
180040,608.206
180060,609.449
180080,610.911
180100,614.696
180120,615.754
180140,613.799
180160,611.582
180180,612.411
180200,613.877
180220,616.311
180240,617.511
180260,615.277
180280,614.92
180300,613.399
180320,611.575
180340,610.5
180360,609.199
180380,615.568
180400,619.539
180420,622.22
180440,623.933
180460,622.904
180480,623.831
180500,619.629
180520,612.508
180540,605.983
180560,598.307
180580,592.059
180600,585.616
180620,582.742
180640,573.356
180660,559.669
180680,548.453
180700,539.109
180720,529.94
180740,540.953
180760,554.308
180780,558.07
180800,563.531
180820,568.86
180840,578.538
180860,589.164
180880,590.69
180900,588.527
180920,583.874
180940,583.678
180960,583.532
180980,583.431
181000,583.518
181020,586.495
181040,584.838
181060,580.382
181080,575.563
181100,569.341
181120,565.857
181140,562.146
181160,560.502
181180,559.339
181200,557.596
181220,553.08
181240,544.577
181260,539.012
181280,529.033
181300,522.196
181320,518.895
181340,514.668
181360,508.337
181380,497.746
181400,488.863
181420,481.882
181440,479.324
181460,501.405
181480,515.17
181500,529.625
181520,546.001
181540,558.574
181560,570.449
181580,582.19
181600,593.386
181620,605.528
181640,616.898
181660,608.66
181680,599.619
181700,589.451
181720,584.977
181740,583.071
181760,585.285
181780,583.423
181800,578.016
181820,575.616
181840,575.127
181860,573.12
181880,568.06
181900,568.115
181920,567.228
181940,561.375
181960,550.395
181980,542.158
182000,536.936
182020,533.582
182040,525.757
182060,523.542
182080,525.477
182100,522.619
182120,518.281
182140,512.765
182160,502.75
182180,497.808
182200,503.292
182220,508.782
182240,511.165
182260,516.643
182280,521.552
182300,526.939
182320,533.884
182340,538.567
182360,536.636
182380,534.189
182400,526.293
182420,521.314
182440,510.519
182460,507.793
182480,504.286
182500,495.897
182520,487.84
182540,487.595
182560,488.676
182580,490.251
182600,503.264
182620,511.148
182640,517.146
182660,520.898
182680,523.197
182700,528.875
182720,528.111
182740,533.895
182760,535.597
182780,537.093
182800,535.564
182820,533.041
182840,527.155
182860,521.178
182880,511.877
182900,501.41
182920,495.163
182940,494.769
182960,493.836
182980,494.157
183000,493.747
183020,493.292
183040,494.049
183060,494.31
183080,494.509
183100,494.601
183120,494.644
183140,494.699
183160,494.129
183180,492.631
183200,491.819
183220,487.706
183240,488.41
183260,487.633
183280,488.127
183300,488.373
183320,489.013
183340,494.214
183360,499.984
183380,510.528
183400,522.984
183420,524.085
183440,523.165
183460,521.907
183480,522.371
183500,520.356
183520,508.789
183540,509.299
183560,511.438
183580,501.181
183600,492.835
183620,496.002
183640,499.353
183660,502.062
183680,501.946
183700,502.07
183720,507.593
183740,508.984
183760,509.856
183780,511.432
183800,514.801
183820,515.569
183840,509.839
183860,506.582
183880,506.574
183900,511.867
183920,515.687
183929.66,518.083
