x0,level
164200,366.285
164220,366.196
164240,366.21
164260,366.362
164280,366.309
164300,367.014
164320,366.659
164340,366.858
164360,367.201
164380,367.594
164400,367.985
164420,367.854
164440,367.796
164460,367.016
164480,366.427
164500,364.435
164520,366.904
164540,368.618
164560,369.338
164580,369.269
164600,369.452
164620,369.883
164640,372.296
164660,377.074
164680,379.437
164700,383.46
164720,377.808
164740,385.679
164760,392.757
164780,396.135
164800,398.43
164820,400.212
164840,402.067
164860,402.911
164880,403.065
164900,403.419
164920,404.023
164940,406.177
164960,405.012
164980,403.779
165000,403.677
165020,404.139
165040,401.935
165060,400.49
165080,401.973
165100,398.811
165120,409.368
165140,414.285
165160,422.948
165180,425.818
165200,431.718
165220,439.693
165240,442.325
165260,448.694
165280,451.188
165300,452.646
165320,452.878
165340,456.329
165360,460.665
165380,462.787
165400,465.236
165420,467.837
165440,467.524
165460,467.895
165480,469.172
165500,469.616
165520,470.546
165540,473.283
165560,474.155
165580,475.73
165600,477.203
165620,478.146
165640,480.229
165660,481.533
165680,481.614
165700,486.976
165720,491.743
165740,497.841
165760,502.224
165780,506.965
165800,511.168
165820,513.299
165840,512.924
165860,512.833
165880,508.754
165900,500.166
165920,495.685
165940,491.71
165960,488.767
165980,485.183
166000,478.624
166020,470.206
166040,469.737
166060,465.98
166080,464.77
166100,460.533
166120,453.06
166140,445.077
166160,437.617
166180,434.935
166200,431.559
166220,428.337
166240,423.395
166260,426.721
166280,425.98
166300,424.756
166320,423.817
166340,422.434
166360,420.383
166380,417.401
166400,418.399
166420,418.329
166440,418.852
166460,419.922
166480,420.149
166500,420.343
166520,419.182
166540,417.78
166560,416.558
166580,415.229
166600,413.528
166620,412.059
166640,409.536
166660,409.684
166680,407.059
166700,405.751
166720,407.169
166740,409.539
166760,411.489
166780,412.372
166800,413.338
166820,413.507
166840,414.259
166860,414.642
166880,414.302
166900,413.975
166920,412.789
166940,412.403
166960,412.259
166980,412.583
167000,412.038
167020,410.031
167040,411.23
167060,414.78
167080,415.962
167100,417.355
167120,418.661
167140,419.818
167160,420.489
167180,421.425
167200,422.393
167220,422.892
167240,423.637
167260,424.303
167280,424.494
167300,423.389
167320,417.917
167340,417.578
167360,417.626
167380,418.482
167400,421.536
167420,424.712
167440,424.066
167460,421.926
167468.539,423.054
