x0,level
171803.652,422.154
171820.000,421.883
171840.000,422.095
171860.000,421.903
171880.000,422.094
171900.000,422.324
171920.000,422.826
171940.000,422.704
171960.000,423.159
171980.000,423.068
172000.000,423.075
172020.000,423.139
172040.000,423.699
172060.000,424.352
172080.000,424.078
172100.000,424.088
172120.000,424.547
172140.000,425.816
172160.000,426.380
172180.000,431.186
172200.000,433.635
172220.000,435.033
172240.000,435.893
172260.000,436.420
172280.000,437.863
172300.000,435.956
172320.000,434.740
172340.000,433.640
172360.000,434.025
172380.000,434.689
172400.000,438.176
172420.000,444.200
172440.000,451.255
172460.000,459.709
172480.000,467.955
172500.000,475.951
172520.000,479.464
172540.000,483.477
172560.000,489.331
172580.000,494.079
172600.000,497.562
172620.000,500.594
172640.000,502.502
172660.000,504.354
172680.000,503.256
172700.000,502.795
172720.000,499.459
172740.000,495.424
172760.000,490.245
172780.000,484.529
172800.000,478.032
172820.000,470.408
172840.000,462.083
172860.000,452.117
172880.000,442.134
172900.000,436.106
172920.000,432.394
172940.000,429.562
172960.000,428.708
172980.000,431.823
173000.000,435.894
173020.000,438.747
173040.000,446.672
173060.000,455.213
173080.000,460.940
173100.000,468.434
173120.000,472.843
173140.000,476.927
173160.000,482.340
173180.000,487.877
173200.000,493.291
173220.000,494.290
173240.000,495.871
173260.000,498.760
173280.000,501.081
173300.000,503.313
173320.000,502.358
173340.000,500.582
173360.000,501.135
173380.000,501.683
173400.000,493.015
173420.000,484.327
173440.000,482.556
173460.000,479.505
173480.000,482.666
173500.000,474.296
173520.000,463.045
173540.000,469.796
173560.000,472.481
173580.000,470.686
173600.000,470.212
173620.000,470.604
173640.000,469.802
173660.000,475.762
173680.000,481.782
173700.000,484.255
173720.000,483.837
173740.000,477.414
173760.000,480.366
173780.000,485.971
173800.000,489.905
173820.000,494.734
173840.000,497.755
173860.000,496.338
173880.000,485.297
173900.000,481.307
173920.000,492.171
173940.000,498.474
173960.000,502.376
173980.000,504.803
174000.000,504.677
174020.000,503.322
174040.000,503.102
174060.000,505.122
174080.000,505.074
174100.000,503.508
174120.000,503.451
174140.000,506.543
174160.000,510.343
174180.000,512.575
174200.000,508.405
174220.000,502.016
174240.000,500.765
174260.000,498.033
174280.000,494.685
174300.000,493.084
174320.000,491.644
174340.000,493.287
174360.000,493.305
174380.000,492.095
174400.000,491.793
174413.536,491.846
