x0,level
154760.00,502.49
154780.00,500.19
154800.00,496.92
154820.00,491.74
154840.00,485.62
154860.00,476.29
154880.00,468.70
154900.00,462.26
154920.00,460.57
154940.00,456.43
154960.00,453.30
154980.00,452.95
155000.00,452.45
155020.00,450.65
155040.00,446.49
155060.00,439.26
155080.00,442.47
155100.00,449.51
155120.00,454.27
155140.00,457.58
155160.00,459.67
155180.00,461.50
155200.00,463.31
155220.00,458.38
155240.00,455.39
155260.00,456.66
155280.00,458.22
155300.00,458.46
155320.00,456.09
155340.00,454.48
155360.00,453.58
155380.00,450.55
155400.00,445.25
155420.00,439.00
155440.00,433.10
155460.00,429.71
155480.00,428.25
155500.00,426.29
155520.00,420.47
155540.00,413.02
155560.00,403.23
155580.00,391.46
155600.00,380.12
155620.00,375.66
155640.00,383.98
155660.00,392.78
155680.00,401.90
155700.00,410.26
155720.00,412.93
155740.00,408.65
155760.00,403.34
155780.00,402.02
155800.00,400.09
155820.00,397.36
155840.00,393.51
155860.00,385.00
155880.00,381.70
155900.00,378.57
155920.00,377.98
155940.00,383.36
155960.00,383.18
155980.00,383.85
156000.00,383.88
156020.00,388.17
156040.00,386.88
156060.00,378.79
156080.00,370.40
156100.00,374.46
156120.00,379.61
156140.00,383.59
156160.00,388.28
156180.00,391.55
156200.00,394.55
156220.00,392.69
156240.00,387.80
156260.00,383.99
156280.00,381.55
156300.00,379.95
156320.00,378.06
156340.00,376.43
156360.00,376.24
156380.00,376.20
156400.00,376.91
156420.00,380.07
156440.00,382.21
156460.00,382.17
156480.00,380.56
156500.00,383.19
156520.00,388.83
156540.00,390.51
156560.00,393.71
156580.00,399.92
156600.00,400.47
156620.00,401.50
156640.00,402.53
156660.00,403.61
156680.00,407.50
156700.00,409.40
156720.00,411.80
156740.00,414.45
156760.00,417.72
156780.00,422.78
156800.00,427.81
156820.00,433.09
156840.00,437.97
156860.00,441.65
156880.00,444.59
156900.00,449.32
156920.00,455.71
156940.00,460.94
156960.00,464.32
156980.00,464.70
157000.00,464.38
157020.00,462.96
157040.00,459.48
157060.00,455.16
157080.00,452.80
157100.00,450.54
157120.00,447.97
157140.00,443.29
157160.00,437.39
157180.00,432.00
157200.00,427.44
157220.00,423.98
157240.00,422.08
157260.00,419.69
157280.00,416.94
157300.00,411.95
157320.00,406.22
157340.00,399.32
157360.00,393.72
157380.00,386.68
157400.00,378.75
157420.00,370.34
157440.00,360.32
157460.00,356.47
157480.00,345.96
157500.00,345.56
157520.00,344.93
157540.00,343.60
157560.00,342.82
157580.00,341.88
157600.00,341.12
157620.00,340.50
157640.00,340.34
157660.00,340.07
157680.00,340.31
157700.00,340.36
157720.00,340.93
157740.00,340.17
157760.00,341.19
157780.00,341.13
157800.00,341.03
157820.00,341.13
157840.00,340.74
157860.00,340.77
157880.00,340.77
157900.00,340.85
157920.00,341.20
157940.00,341.41
157960.00,341.49
157980.00,341.77
158000.00,341.86
158020.00,341.92
158040.00,341.72
158060.00,341.78
158080.00,341.61
158100.00,341.29
158120.00,341.57
158140.00,341.99
158160.00,342.06
158180.00,341.94
158200.00,341.89
158220.00,341.94
158240.00,341.72
158260.00,340.88
158280.00,340.05
158300.00,339.99
158320.00,340.92
158340.00,342.33
158360.00,342.49
158380.00,343.07
158400.00,343.39
158420.00,343.53
158440.00,343.48
158460.00,343.44
158480.00,343.31
158500.00,343.18
158520.00,343.04
158540.00,342.89
158560.00,342.86
158580.00,343.06
158600.00,343.12
158620.00,343.24
158640.00,343.23
158660.00,343.15
158680.00,342.96
158700.00,342.72
158720.00,342.53
158740.00,342.72
158760.00,342.99
158780.00,343.26
158800.00,343.52
158820.00,343.75
158840.00,343.97
158860.00,344.28
158880.00,344.64
158900.00,344.99
158920.00,344.99
158940.00,344.99
158960.00,344.99
158980.00,345.03
159000.00,345.11
159020.00,345.19
159040.00,345.27
159060.00,345.35
159080.00,345.42
159100.00,345.49
159120.00,345.57
159140.00,345.64
159160.00,345.72
159180.00,345.66
159200.00,345.54
159220.00,345.92
159240.00,346.62
159260.00,346.95
159280.00,346.05
159300.00,345.10
159320.00,345.26
159340.00,345.45
159360.00,345.42
159380.00,345.50
159400.00,345.74
159420.00,346.14
159440.00,346.92
159460.00,347.29
159480.00,347.39
159500.00,347.10
159520.00,347.64
159540.00,348.59
159560.00,348.04
159580.00,348.27
159600.00,348.07
159620.00,348.50
159640.00,348.30
159660.00,348.12
159680.00,348.47
159700.00,348.77
159720.00,349.06
159740.00,349.24
159760.00,348.81
159780.00,348.76
159800.00,348.91
159820.00,349.14
159840.00,347.16
159860.00,347.87
159880.00,348.25
159900.00,348.73
159920.00,348.13
159940.00,348.21
159960.00,348.52
159980.00,349.00
160000.00,349.08
160020.00,348.29
160040.00,348.94
160060.00,348.57
160080.00,349.73
160100.00,350.23
160120.00,350.16
160140.00,349.35
160160.00,349.97
160180.00,350.29
160200.00,350.39
160220.00,350.89
160240.00,350.88
160260.00,350.79
160280.00,351.80
160300.00,351.73
160320.00,351.80
160340.00,351.91
160360.00,352.00
160380.00,352.35
160400.00,352.96
160420.00,351.63
160440.00,351.43
160460.00,351.80
160480.00,351.56
160500.00,351.95
160520.00,351.93
160540.00,352.25
160560.00,352.53
160580.00,352.90
160600.00,353.10
160620.00,353.33
160640.00,353.25
160660.00,353.46
160680.00,353.61
160700.00,353.80
160720.00,353.97
160740.00,354.04
160760.00,353.96
160780.00,353.89
160800.00,354.07
160820.00,354.31
160840.00,354.53
160860.00,354.32
160880.00,354.26
160900.00,354.76
160920.00,354.94
160940.00,354.98
160960.00,355.04
160980.00,355.17
161000.00,355.23
161020.00,355.61
161040.00,355.87
161060.00,355.93
161080.00,355.77
161100.00,355.86
161120.00,355.76
161140.00,356.10
161160.00,356.09
161180.00,356.23
161200.00,356.34
161220.00,356.05
161240.00,356.45
161260.00,356.40
161280.00,356.18
161300.00,356.21
161320.00,355.53
161340.00,355.08
161360.00,354.68
161380.00,353.96
161400.00,353.55
161420.00,352.83
161440.00,354.26
161460.00,354.39
161480.00,355.35
161500.00,356.38
161520.00,356.52
161540.00,357.08
161560.00,357.24
161580.00,359.80
161600.00,363.56
161620.00,367.70
161640.00,370.45
161660.00,370.82
161680.00,372.74
161700.00,374.80
161720.00,376.38
161740.00,376.53
161760.00,377.27
161780.00,379.14
161800.00,381.68
161820.00,383.38
161840.00,384.84
161860.00,386.27
161880.00,386.93
161900.00,388.00
161920.00,388.47
161940.00,388.77
161960.00,389.92
161980.00,390.19
162000.00,390.09
162020.00,389.64
162040.00,389.59
162060.00,388.97
162080.00,388.49
162100.00,387.48
162120.00,386.30
162140.00,385.41
162160.00,384.03
162180.00,382.54
162200.00,381.56
162220.00,380.74
162240.00,380.45
162260.00,380.37
162280.00,380.74
162300.00,380.63
162320.00,380.99
162340.00,381.41
162360.00,381.83
162380.00,382.16
162400.00,382.01
162420.00,382.30
162440.00,382.63
162460.00,382.95
162480.00,383.64
162500.00,383.66
162520.00,383.95
162540.00,384.18
162560.00,384.80
162580.00,385.19
162600.00,385.22
162620.00,384.93
162640.00,381.53
162660.00,376.43
162680.00,368.38
162700.00,367.82
162720.00,367.74
162740.00,369.24
162760.00,370.65
162780.00,371.33
162800.00,372.22
162820.00,376.20
162840.00,378.65
162860.00,379.26
162880.00,382.70
162900.00,385.79
162920.00,388.48
162940.00,389.84
162960.00,390.55
162980.00,391.35
163000.00,392.03
163020.00,393.02
163040.00,393.79
163060.00,393.74
163080.00,392.13
163100.00,388.63
163120.00,388.31
163140.00,388.05
163160.00,389.95
163180.00,394.86
163200.00,397.08
163220.00,397.06
163240.00,396.35
163260.00,396.23
163280.00,396.14
163300.00,395.86
163320.00,392.89
163340.00,390.90
163360.00,393.87
163380.00,393.23
163400.00,392.95
163420.00,391.42
163440.00,389.52
163460.00,389.13
163480.00,385.42
163500.00,381.71
163520.00,380.85
163540.00,379.66
163560.00,380.65
163580.00,385.74
163600.00,383.43
163620.00,378.19
163640.00,377.42
163660.00,376.81
163680.00,380.87
163700.00,382.83
163720.00,385.95
163740.00,387.73
163760.00,389.23
163780.00,390.44
163800.00,390.81
163820.00,388.87
163840.00,387.11
163860.00,385.65
163880.00,382.87
163900.00,377.07
163920.00,368.35
163940.00,366.72
163960.00,367.27
163980.00,366.98
164000.00,366.37
164020.00,366.08
164040.00,365.83
164060.00,365.82
164080.00,365.88
164100.00,365.94
164120.00,366.02
164140.00,366.02
164160.00,365.92
164180.00,366.19
164200.00,366.27
164220.00,366.18
164240.00,366.20
164260.00,366.35
164280.00,366.30
164300.00,367.00
164320.00,366.65
164340.00,366.84
164360.00,367.19
164380.00,367.58
164400.00,367.97
164420.00,367.85
164440.00,367.79
164460.00,367.03
164480.00,366.50
164500.00,364.39
164520.00,366.65
164540.00,368.44
164560.00,369.45
